OBJECTID,Precinct,VoteByMail,BallotGroup,SerialNumber,VBMVoters,PollVoters,Shape__Area,Shape__Length
37070,9002313A,0,622,1569,1544,646,9551921.91015625,12530.6651296164
37071,9007129A,0,622,1787,2665,722,4188195.40429688,9931.70538985134
37072,9000607A,0,622,1248,2254,856,10452324.2548828,16786.4599084607
37073,9000736A,0,622,1273,1910,550,10522777.0458984,19395.5639132247
37074,9000251B,0,622,1153,1750,569,9708977.53125,15355.5936867184
37075,9000165A,0,622,1133,3073,952,11492315.9775391,16195.8734056322
37076,9000479B,1,20,7589,0,0,393330.912109375,3281.73064853424
37077,9003213A,1,20,7760,0,2,237193.495117188,2035.00297647258
37078,6100024A,0,596,846,2495,960,17951427.1337891,23185.7126374858
37079,6100022A,1,596,7247,0,0,63490.8251953125,2880.83835227634
37080,6100043A,0,596,848,2598,979,26483738.9648438,56735.6707279507
37081,6100011A,0,596,844,1322,517,9583075.17382813,13663.294217842
37082,6100021A,0,596,845,2383,912,19156177.7890625,21772.2007617092
37083,6100001C,1,596,7245,273,116,2104661.9765625,7385.11865630894
37084,6100008A,0,596,843,2331,983,19132133.8476563,18824.0638615858
37085,0050055A,1,445,6025,0,0,18157940.9433594,41871.5427787451
37086,0350066A,1,584,6095,1,1,87816.0703125,1363.98418459259
37087,7700164A,1,97,7526,1318,496,35661567.2080078,25504.6425850616
37088,7700162D,1,97,7525,0,0,1403900.2109375,14779.0210985428
37089,1300010D,1,515,6269,0,0,421082.9921875,6558.26444764477
37090,9001922A,1,11,7684,613,259,1744379.24804688,5279.54583619345
37091,5000094A,1,367,7032,0,0,79358963.0791016,42050.2410166259
37092,3550034A,0,367,494,2449,843,52943814.0322266,35888.8883783841
37093,3550022A,0,367,490,1824,638,62515433.2910156,37321.410801039
37094,3550015A,0,367,489,2296,745,31693289.6728516,24047.3632041235
37095,0050007B,1,367,6006,0,0,157659.421875,3750.64725633771
37096,3550006A,0,367,486,1516,536,14248852.9736328,16009.847043951
37097,3550011B,1,367,6765,1402,405,34009901.9814453,29286.3688643443
37098,3550065B,1,367,6773,118,47,46903777.3144531,32482.8969584988
37099,3550054A,0,367,498,2161,760,26121796.6152344,23119.6662482082
37100,3550052A,0,367,497,1913,590,22571016.6113281,21994.3159161516
37101,3550036A,0,367,495,2618,859,42363359.4375,26552.643170434
37102,3550098A,0,367,505,3112,965,24844826.7900391,21427.5805243569
37103,3550013A,0,367,487,3030,940,47784972.5410156,30227.5803034279
37104,0300001D,1,367,6073,166,61,539047259.802734,150315.242377969
37105,3550065G,1,367,6774,164,67,10712665.7294922,13327.4925671697
37106,3550050A,0,367,496,1685,610,14272893.1884766,16072.0206548407
37107,7700007A,0,624,1038,2485,841,15314225.984375,21127.5065344967
37108,6700007B,1,783,7390,398,183,2317579.55664063,6685.00707371328
37109,3850415A,0,956,590,1904,923,10117696.6533203,17520.4260054306
37110,3850058A,0,956,536,1548,713,5524100.82128906,10496.6883458866
37111,3850660A,0,956,606,1994,957,10453093.9365234,15960.6732660559
37112,3850549A,0,956,594,2133,745,13519442.9970703,15807.3905476692
37113,3850059A,0,956,537,1381,629,5256131.51855469,11227.9245240384
37114,6550001A,0,894,921,1886,730,25653741.5917969,32866.1585385452
37115,1850001A,1,727,6399,955,401,6372047.53613281,11906.8278729873
37116,1850017A,0,727,243,1709,756,9840862.84570313,13677.9785358654
37117,1850002A,0,727,238,1643,657,19120236.1738281,19360.0607868115
37118,1850043A,0,727,248,1307,651,7585731.00195313,14270.5150703646
37119,1850011A,1,727,6401,527,276,2321787.42578125,6324.03015996242
37120,1850013A,1,727,6402,0,0,231633.90625,2220.67287038301
37121,1850041A,1,727,6407,973,460,13995106.2128906,16303.0611890082
37122,1850012A,0,727,241,1535,882,8794031.7109375,12661.3966397751
37123,1850055E,1,727,6411,7,4,1458734.19238281,7976.60901826877
37124,1850051A,0,727,250,2238,936,12318800.9003906,15890.3147668714
37125,1850089A,0,727,258,1229,554,6146102.58789063,10388.8339806205
37126,1850009A,1,727,6400,820,388,6426797.17480469,12414.2571770085
37127,1850055A,0,727,251,1832,804,13055126.8173828,17725.1962657341
37128,1850006A,0,727,239,1424,542,8438953.00976563,13068.4582935159
37129,1850015B,0,727,242,1655,794,21029034.9511719,24610.9861112404
37130,1850062D,0,727,252,1570,785,12794393.8115234,20177.329762979
37131,0350055A,1,582,6090,1,0,610921.892578125,4534.99399642832
37132,3850001D,1,920,6824,2,1,14765.533203125,694.05344801026
37133,3850001E,1,920,6825,0,0,115408.111328125,1531.29026630099
37134,0670010A,0,623,68,1233,608,7410637.89160156,13623.2055979369
37135,7410015C,1,623,7472,178,71,896152.07421875,3801.91634211927
37136,0670144A,0,623,70,1830,897,12170569.6914063,18111.6982605793
37137,0670141A,0,623,69,2023,949,10488751.6132813,15504.5146408124
37138,7410130B,1,623,7473,337,136,1682929.13867188,5608.85228909274
37139,6220126A,1,410,7285,329,72,1799169.51367188,6490.44996368208
37140,6220199C,1,410,7306,0,0,959395.84765625,8346.96045081472
37141,6220126B,1,410,7286,904,250,8965546.45800781,14601.6760408402
37142,5250152B,1,171,7145,7,6,177418.559570313,2144.68765032671
37143,6300006F,1,442,7340,0,0,83770.9931640625,2103.64433104507
